param:	gen_capacity_veh	regup_capacity_veh	regdown_capacity_veh	:=

1	0.0	135166.66666666666	300833.3333333333	
2	0.0	180666.66666666666	255333.33333333334	
3	0.0	204466.66666666666	231533.33333333334	
4	0.0	229333.33333333334	206666.66666666666	
5	0.0	172766.66666666666	261833.33333333302	
6	0.0	184606.66666666666	237266.66666666666	
7	0.0	207079.99999999988	198300.0	
8	0.0	185326.66666666666	193080.0	
9	0.0	174060.0	204853.33333333334	
10	0.0	172133.33333333334	200946.66666666666	
11	0.0	170266.66666666666	200933.33333333334	
12	0.0	192093.33333333334	172726.66666666666	
13	0.0	184340.0	185953.33333333334	
14	0.0	190319.99999999985	186357.3616629338	
15	0.0	251220.0	100800.0	
16	0.0	259746.66666666666	78320.0	
17	0.0	244306.66666666666	91166.66666666667	
18	0.0	190013.33333333334	148366.66666666666	
19	0.0	223020.0	148566.66666666666	
20	0.0	211360.0	175773.33333333334	
21	0.0	203566.66666666666	182520.0	
22	0.0	214746.66666666666	190373.33333333334	
23	0.0	339646.6666666667	87033.33333333333	
24	0.0	394033.3333333333	41966.666666666664	
25	0.0	135166.66666666666	300833.3333333333	
26	0.0	180666.66666666666	255333.33333333334	
27	0.0	204466.66666666666	231533.33333333334	
28	0.0	229333.33333333334	206666.66666666666	
29	0.0	172766.66666666666	261833.33333333302	
30	0.0	184606.66666666666	237266.66666666666	
31	0.0	207079.99999999988	198300.0	
32	0.0	185326.66666666666	193080.0	
33	0.0	174060.0	204853.33333333334	
34	0.0	172133.33333333334	200946.66666666666	
35	0.0	170266.66666666666	200933.33333333334	
36	0.0	192093.33333333334	172726.66666666666	
37	0.0	184340.0	185953.33333333334	
38	0.0	190319.99999999985	186357.3616629338	
39	0.0	251220.0	100800.0	
40	0.0	259746.66666666666	78320.0	
41	0.0	244306.66666666666	91166.66666666667	
42	0.0	190013.33333333334	148366.66666666666	
43	0.0	223020.0	148566.66666666666	
44	0.0	211360.0	175773.33333333334	
45	0.0	203566.66666666666	182520.0	
46	0.0	214746.66666666666	190373.33333333334	
47	0.0	339646.6666666667	87033.33333333333	
48	0.0	394033.3333333333	41966.666666666664	
;

